tpr	epq	score
0.01	0.0007136	7.13
0.02	0.00223	6.92
0.03	0.007403	6.7
0.04	0.01623	6.47
0.05	0.03318	6.35
0.06	0.06021	6.23
0.07	0.1033	6.11
0.08	0.169	5.99
0.09	0.24	5.86
0.1	0.3595	5.73
0.11	0.4787	5.73
0.12	0.6453	5.6
0.13	0.7969	5.6
0.14	1.016	5.46
0.15	1.23	5.46
0.16	1.529	5.46
0.17	1.857	5.33
0.18	2.255	5.33
0.19	2.701	5.19
0.2	2.966	5.19
0.21	3.415	5.19
0.22	3.999	5.04
0.23	4.365	5.04
0.24	4.853	5.04
0.25	5.402	5.04
0.26	6.219	4.89
0.27	6.741	4.89
0.28	7.514	4.89
0.29	8.285	4.74
0.3	9.461	4.74
0.31	10.21	4.74
0.32	11.36	4.74
0.33	12.41	4.74
0.34	14.16	4.58
0.35	15.44	4.58
0.36	16.99	4.58
0.37	18.5	4.58
0.38	21	4.42
0.39	23.25	4.42
0.4	25.13	4.42
0.41	27.57	4.42
0.42	29.95	4.42
0.43	32.19	4.25
0.44	36.48	4.25
0.45	39.53	4.25
0.46	42.84	4.25
0.47	46.5	4.25
0.48	49.8	4.25
0.49	56.12	4.07
0.5	61.15	4.07
0.51	66.44	4.07
0.52	72.62	4.07
0.53	77.95	4.07
0.54	84.07	3.89
0.55	94.68	3.89
0.56	102.2	3.89
0.57	110.8	3.89
0.58	120.4	3.89
0.59	127.6	3.89
0.6	139.8	3.7
0.61	158	3.7
0.62	171.9	3.7
0.63	186.8	3.7
0.64	203.4	3.7
0.65	217.8	3.7
0.66	230.9	3.7
0.67	262.7	3.5
0.68	286.7	3.5
0.69	312.5	3.5
0.7	340.7	3.5
0.71	364.2	3.5
0.72	394.2	3.29
0.73	447.5	3.29
0.74	488	3.29
0.75	531.5	3.29
0.76	580.4	3.29
0.77	617.4	3.29
0.78	708	3.07
0.79	774.2	3.07
0.8	844.8	3.07
0.81	921.3	3.07
0.82	1001	2.83
0.83	1137	2.83
0.84	1249	2.83
0.85	1362	2.83
0.86	1469	2.83
0.87	1670	2.58
0.88	1868	2.58
0.89	2053	2.58
0.9	2237	2.58
0.91	2431	2.3
0.92	2781	2.3
0.93	3089	2.3
0.94	3355	2.3
0.95	3646	2.3
0.96	4358	1.99
0.97	4997	1.99
0.98	5625	1.99
0.99	7408	1.64
1	1.117e+04	0
epq	tpr	score
0.01008	0.03225	6.7
0.01267	0.03629	6.58
0.01588	0.03851	6.58
0.02007	0.04317	6.47
0.02524	0.04565	6.35
0.03175	0.04928	6.35
0.04005	0.05318	6.23
0.0504	0.05794	6.23
0.06351	0.06172	6.23
0.08001	0.06717	6.11
0.1008	0.06978	6.11
0.127	0.07516	5.99
0.16	0.07902	5.99
0.2016	0.08433	5.86
0.254	0.09086	5.86
0.32	0.09559	5.86
0.4032	0.1038	5.73
0.508	0.1117	5.73
0.6401	0.1197	5.6
0.8064	0.1303	5.6
1.016	0.1401	5.46
1.28	0.1514	5.46
1.613	0.1616	5.33
2.032	0.1744	5.33
2.56	0.1861	5.19
3.225	0.2054	5.19
4.064	0.2213	5.04
5.12	0.2451	5.04
6.451	0.265	4.89
8.128	0.2881	4.89
1.117e+04	1	0
precision	recall	score
0.9982	0.01	7.13
0.9973	0.02	6.92
0.994	0.03	6.7
0.9901	0.04	6.47
0.9839	0.05	6.35
0.9759	0.06	6.23
0.9649	0.07	6.11
0.9505	0.08	5.99
0.9383	0.09	5.86
0.9186	0.1	5.73
0.9031	0.11	5.73
0.8829	0.12	5.6
0.8687	0.13	5.6
0.8483	0.14	5.46
0.8319	0.15	5.46
0.8093	0.16	5.46
0.7879	0.17	5.33
0.7641	0.18	5.33
0.7405	0.19	5.19
0.7323	0.2	5.19
0.7139	0.21	5.19
0.6905	0.22	5.04
0.6813	0.23	5.04
0.6673	0.24	5.04
0.6525	0.25	5.04
0.6291	0.26	4.89
0.619	0.27	4.89
0.6018	0.28	4.89
0.5868	0.29	4.74
0.5626	0.3	4.74
0.5519	0.31	4.74
0.5332	0.32	4.74
0.5189	0.33	4.74
0.4935	0.34	4.58
0.479	0.35	4.58
0.4623	0.36	4.58
0.4478	0.37	4.58
0.4233	0.38	4.42
0.4049	0.39	4.42
0.3923	0.4	4.42
0.3763	0.41	4.42
0.3626	0.42	4.42
0.3515	0.43	4.25
0.3285	0.44	4.25
0.3159	0.45	4.25
0.3034	0.46	4.25
0.2908	0.47	4.25
0.2811	0.48	4.25
0.2615	0.49	4.07
0.2491	0.5	4.07
0.2374	0.51	4.07
0.2251	0.52	4.07
0.2162	0.53	4.07
0.2067	0.54	3.89
0.1907	0.55	3.89
0.1818	0.56	3.89
0.1726	0.57	3.89
0.1634	0.58	3.89
0.1579	0.59	3.89
0.1483	0.6	3.7
0.1354	0.61	3.7
0.1276	0.62	3.7
0.1203	0.63	3.7
0.1132	0.64	3.7
0.108	0.65	3.7
0.1039	0.66	3.7
0.09376	0.67	3.5
0.08777	0.68	3.5
0.08221	0.69	3.5
0.07693	0.7	3.5
0.07328	0.71	3.5
0.06899	0.72	3.29
0.06207	0.73	3.29
0.05794	0.74	3.29
0.05414	0.75	3.29
0.05044	0.76	3.29
0.04815	0.77	3.29
0.04278	0.78	3.07
0.03975	0.79	3.07
0.03699	0.8	3.07
0.03443	0.81	3.07
0.03216	0.82	2.83
0.02876	0.83	2.83
0.02656	0.84	2.83
0.02469	0.85	2.83
0.02319	0.86	2.83
0.0207	0.87	2.58
0.01875	0.88	2.58
0.01728	0.89	2.58
0.01606	0.9	2.58
0.01496	0.91	2.3
0.01324	0.92	2.3
0.01206	0.93	2.3
0.01124	0.94	2.3
0.01046	0.95	2.3
0.008856	0.96	1.99
0.007813	0.97	1.99
0.007018	0.98	1.99
0.005391	0.99	1.64
0.003619	1	0
SEPQ0.1=0.0698 SEPQ1=0.1392 SEPQ10=0.3066 S1FP=0.3108 N1FP=141341 area=3.48
