tpr	epq	score
0.01	0	6.07e-07
0.02	0	6.58e-06
0.03	0	3.81e-05
0.04	0.0001784	0.000131
0.05	0.0006244	0.000339
0.06	0.001516	0.000749
0.07	0.002587	0.0015
0.08	0.004549	0.0027
0.09	0.007403	0.0045
0.1	0.01204	0.0074
0.11	0.01927	0.0116
0.12	0.02863	0.0174
0.13	0.04139	0.0256
0.14	0.05789	0.0371
0.15	0.0768	0.052
0.16	0.1016	0.0712
0.17	0.1292	0.0976
0.18	0.1648	0.1312
0.19	0.2041	0.1748
0.2	0.2582	0.2279
0.21	0.3155	0.2936
0.22	0.3907	0.3786
0.23	0.4801	0.4817
0.24	0.5904	0.6054
0.25	0.7222	0.7618
0.26	0.875	0.9486
0.27	1.06	1.1
0.28	1.273	1.2
0.29	1.523	1.3
0.3	1.831	1.3
0.31	2.187	1.4
0.32	2.616	1.5
0.33	3.143	1.6
0.34	3.763	1.7
0.35	4.547	1.8
0.36	5.501	1.9
0.37	6.775	2.1
0.38	8.507	2.2
0.39	10.86	2.3
0.4	14.61	2.5
0.41	21.22	2.7
0.42	36.66	3
0.43	92.23	3.8
epq	tpr	score
0.01008	0.09537	0.006
0.01267	0.1013	0.0079
0.01588	0.1055	0.0096
0.02007	0.1106	0.0118
0.02524	0.1163	0.015
0.03175	0.1225	0.0193
0.04005	0.1287	0.0244
0.0504	0.1353	0.0311
0.06351	0.1432	0.0414
0.08001	0.1513	0.0541
0.1008	0.1597	0.0705
0.127	0.1689	0.0944
0.16	0.1787	0.1263
0.2016	0.1893	0.1717
0.254	0.1992	0.2235
0.32	0.2107	0.2988
0.4032	0.2215	0.3923
0.508	0.2331	0.517
0.6401	0.2444	0.6686
0.8064	0.2559	0.8666
1.016	0.2679	1.1
1.28	0.2803	1.2
1.613	0.2928	1.3
2.032	0.3053	1.4
2.56	0.3186	1.5
3.225	0.3313	1.6
4.064	0.3438	1.8
5.12	0.3557	1.9
6.451	0.3678	2
8.128	0.3782	2.2
92.23	0.43	3.8
precision	recall	score
1	0.01	6.07e-07
1	0.02	6.58e-06
1	0.03	3.81e-05
0.9999	0.04	0.000131
0.9997	0.05	0.000339
0.9994	0.06	0.000749
0.9991	0.07	0.0015
0.9986	0.08	0.0027
0.998	0.09	0.0045
0.997	0.1	0.0074
0.9957	0.11	0.0116
0.9942	0.12	0.0174
0.9922	0.13	0.0256
0.9899	0.14	0.0371
0.9875	0.15	0.052
0.9846	0.16	0.0712
0.9816	0.17	0.0976
0.9779	0.18	0.1312
0.9742	0.19	0.1748
0.9692	0.2	0.2279
0.9643	0.21	0.2936
0.9581	0.22	0.3786
0.9511	0.23	0.4817
0.9428	0.24	0.6054
0.9335	0.25	0.7618
0.9234	0.26	0.9486
0.9118	0.27	1.1
0.8992	0.28	1.2
0.8854	0.29	1.3
0.8692	0.3	1.3
0.8518	0.31	1.4
0.8322	0.32	1.5
0.8099	0.33	1.6
0.7856	0.34	1.7
0.7574	0.35	1.8
0.7264	0.36	1.9
0.689	0.37	2.1
0.6444	0.38	2.2
0.5929	0.39	2.3
0.5262	0.4	2.5
0.4394	0.41	2.7
0.3173	0.42	3
0.1583	0.4277	3.8
SEPQ0.1=0.1595 SEPQ1=0.2672 SEPQ10=0.3868 S1FP=0.3484 N1FP=158425 area=6.51
