tpr	epq	score
0.01	0	5.38e-07
0.02	0	5.17e-05
0.03	0.0007136	0.000586
0.04	0.001784	0.0028
0.05	0.003479	0.0083
0.06	0.004638	0.0193
0.07	0.008206	0.0382
0.08	0.01142	0.0688
0.09	0.01641	0.1139
0.1	0.02355	0.1796
0.11	0.04638	0.2746
0.12	0.07689	0.4023
0.13	0.1276	0.5793
0.14	0.1975	0.8066
0.15	0.3032	1.1
0.16	0.436	1.4
0.17	0.6292	1.9
0.18	0.8892	2.3
0.19	1.204	2.9
0.2	1.615	3.5
0.21	2.148	4.2
0.22	2.805	5
0.23	3.619	5.8
0.24	4.597	6.8
0.25	5.767	7.8
0.26	7.173	8.9
0.27	8.734	10
epq	tpr	score
0.01008	0.07652	0.0567
0.01267	0.08233	0.0779
0.01588	0.08923	0.1099
0.02007	0.09484	0.143
0.02524	0.1006	0.1849
0.03175	0.104	0.2147
0.04005	0.1072	0.2456
0.0504	0.112	0.2968
0.06351	0.1165	0.3526
0.08001	0.1209	0.4158
0.1008	0.1252	0.4863
0.127	0.1298	0.5753
0.16	0.1352	0.6891
0.2016	0.1407	0.8216
0.254	0.1461	0.975
0.32	0.1517	1.1
0.4032	0.1577	1.4
0.508	0.1638	1.6
0.6401	0.1703	1.9
0.8064	0.1768	2.2
1.016	0.1843	2.6
1.28	0.1922	3
1.613	0.2	3.5
2.032	0.208	4.1
2.56	0.2165	4.7
3.225	0.2255	5.4
4.064	0.2347	6.2
5.12	0.2447	7.2
6.451	0.2551	8.3
8.128	0.2659	9.6
8.734	0.27	10
precision	recall	score
1	0.01	5.38e-07
1	0.02	5.17e-05
0.9997	0.03	0.000586
0.9995	0.04	0.0028
0.9992	0.05	0.0083
0.9992	0.06	0.0193
0.9987	0.07	0.0382
0.9985	0.08	0.0688
0.998	0.09	0.1139
0.9975	0.1	0.1796
0.9955	0.11	0.2746
0.9931	0.12	0.4023
0.9895	0.13	0.5793
0.985	0.14	0.8066
0.9786	0.15	1.1
0.9714	0.16	1.4
0.9615	0.17	1.9
0.9493	0.18	2.3
0.9359	0.19	2.9
0.9197	0.2	3.5
0.9004	0.21	4.2
0.8788	0.22	5
0.8546	0.23	5.8
0.8284	0.24	6.8
0.8003	0.25	7.8
0.7702	0.26	8.9
0.7404	0.2695	10
SEPQ0.1=0.1251 SEPQ1=0.1838 SEPQ10=0.2695 S1FP=0.1484 N1FP=153810 area=5
