tpr	epq	score
0.01	16.33	247
0.02	29.33	186
0.03	49.76	129
0.04	68.97	93
0.05	88.96	64
0.06	116.2	26
0.07	123	4
epq	tpr	score
0.01008	1.929e-06	1329
0.01267	1.929e-06	1305
0.01588	1.929e-06	1291
0.02007	1.929e-06	1256
0.02524	1.929e-06	1230
0.03175	1.929e-06	1195
0.04005	1.929e-06	1146
0.0504	1.929e-06	1098
0.06351	4.824e-06	1052
0.08001	5.788e-06	1014
0.1008	6.753e-06	972
0.127	7.718e-06	930
0.16	9.647e-06	876
0.2016	1.833e-05	830
0.254	2.798e-05	779
0.32	3.763e-05	730
0.4032	5.403e-05	684
0.508	8.007e-05	646
0.6401	0.0001196	608
0.8064	0.0001515	571
1.016	0.0001987	537
1.28	0.0003	507
1.613	0.0004283	480
2.032	0.0005904	453
2.56	0.0008249	428
3.225	0.001149	404
4.064	0.001606	380
5.12	0.002219	358
6.451	0.00284	335
8.128	0.003767	314
123	0.07	4
precision	recall	score
0.0536	0.01	247
0.05931	0.02	186
0.0528	0.03	129
0.0509	0.04	93
0.0494	0.05	64
0.04557	0.06	26
0.04479	0.06237	4
SEPQ0.1=0.0000 SEPQ1=0.0002 SEPQ10=0.0047 S1FP=0.0001 N1FP=88 area=0.0145
