tpr	epq	score
0.01	0	5.06e-17
0.02	0	3.92e-08
0.03	0.002141	0.000348
0.04	0.1006	0.067
0.05	1.749	1.7
0.06	7.599	10
epq	tpr	score
0.01008	0.03353	0.003
0.01267	0.03425	0.005
0.01588	0.03491	0.007
0.02007	0.03549	0.009
0.02524	0.03617	0.013
0.03175	0.03684	0.017
0.04005	0.03749	0.023
0.0504	0.03805	0.03
0.06351	0.03862	0.038
0.08001	0.03926	0.051
0.1008	0.04	0.067
0.127	0.04066	0.087
0.16	0.04135	0.11
0.2016	0.04207	0.15
0.254	0.04283	0.19
0.32	0.04356	0.25
0.4032	0.04425	0.32
0.508	0.04504	0.42
0.6401	0.04587	0.55
0.8064	0.04676	0.71
1.016	0.04772	0.93
1.28	0.04863	1.2
1.613	0.04963	1.6
2.032	0.0506	2.1
2.56	0.05164	2.7
3.225	0.05285	3.6
4.064	0.05409	4.7
5.12	0.05543	6.2
6.451	0.05677	8.2
7.599	0.06	10
precision	recall	score
1	0.01	5.06e-17
1	0.02	3.92e-08
0.9992	0.03	0.000348
0.9735	0.04	0.067
0.7255	0.05	1.7
0.4129	0.05781	10
SEPQ0.1=0.0400 SEPQ1=0.0477 SEPQ10=0.0578 S1FP=0.0456 N1FP=47298 area=1.32
