tpr	epq	E
0.01	0.0366	6.94e-21
0.02	0.0731	1.9e-14
0.03	0.103	2.01e-11
0.04	0.134	1.83e-09
0.05	0.182	3.68e-08
0.06	0.236	2.69e-07
0.07	0.292	1.1e-06
0.08	0.361	3.36e-06
0.09	0.437	8.75e-06
0.1	0.528	1.98e-05
0.11	0.637	4.09e-05
0.12	0.757	7.91e-05
0.13	0.9	0.000144
0.14	1.07	0.000255
0.15	1.27	0.000434
0.16	1.49	0.000711
0.17	1.75	0.00115
0.18	2.07	0.00179
0.19	2.46	0.00276
0.2	2.93	0.00417
0.21	3.49	0.00616
0.22	4.13	0.00896
0.23	4.9	0.0128
0.24	5.85	0.0181
0.25	6.95	0.0251
0.26	8.18	0.0341
0.27	9.7	0.0464
0.28	11.3	0.0612
0.29	13.4	0.081
0.3	15.6	0.106
0.31	18.3	0.137
0.32	21.4	0.176
0.33	24.8	0.224
0.34	28.8	0.284
0.35	33.2	0.356
0.36	38.3	0.445
0.37	44.2	0.553
0.38	50.9	0.688
0.39	58.6	0.852
0.4	67.5	1.06
0.41	77.9	1.31
0.42	90	1.63
0.43	104	2.02
0.44	120	2.49
0.45	139	3.08
0.46	161	3.83
0.47	188	4.77
0.48	222	5.99
0.49	261	7.52
0.5	313	9.62
0.502	322	10
tpr_epq1=0.136
